Column2,Year Level,Block No.,Curriculum Type,HOME ADDRESS: Please enter the name of your PROVINCE,GENDER,birthday,civil_status,No_of_siblings,place_in_the_family,Island Location (Where are you NOW?),Are you a TES Beneficiary?,Do you own a laptop?,Please skip this question if you own a laptop.  Do you  have someone that lets you borrow his/her laptop?,Is you MOBILE PHONE touch screen?,How is your internet connection in your place?,1. How did you  feel when you learned that instruction would no longer be face-to-face? Please check all that apply.,2. Why did you feel that way?,3. What were your expectations about Blended Learning before it started. Please check all that apply.,"1.	How satisfied are you with the learning you get from our blended learning mode of instruction during the 1st semester? ","2.	How satisfied are you with the assessments given (exercises, assignments, quizzes) to gauge or measure your learning of the lessons?",3. Did ALL your subject teachers provide you with MODULES last semester?,4. How clear were the presentation of your lessons in your modules last semester? Was it easy to follow?,"5.	Which do you prefer MORE in studying? ","6.	At AVERAGE, how many days a week were you required to be online in a particular subject?","7.	Did ALL your subject teachers provide you with videos, powerpoint presentations, and other learning tools that reinforce learning last semester? ","8.	How helpful were these videos, powerpoint presentations, and other learning tools in enhancing your understanding of your lessons? ","9.	Did ALL your subject teachers provide you feedbacks on your performance of exercises, assignments or quizzes?","10.	At average, how long did it take your teachers to provide you with feedback on your exercises, assignments or quizzes? ","11.	Did ALL your subject teachers last semester gave time to ask you if you have questions about the lesson and answer you back?",12. Which of the 5 areas below is your TOP 1 for IMPROVEMENT?,13. Which of the 5 areas below is your 2nd PRIORITY for IMPROVEMENT?,14. Which of the 5 areas below is your 3rd PRIORITY for IMPROVEMENT?,15. Which of the 5 areas below is your 4th PRIORITY for IMPROVEMENT?
115,2nd Year,4,Old,Romblon,Male,3/9/2001,Single,6,1st,Tablas Island,No,No,No,Yes,3,Worried / Nervous,Because I don't have laptop and we don't have electricity,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited",4,5,Yes,4,A HARCOPY of your module,0,Yes,5,No,5,Yes,Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
116,2nd Year,3,New,Romblon,Male,5/27/2001,Single,2,1st,Tablas Island,No,No,No,Yes,2,Sad / Disappointed;Worried / Nervous,Because face to face is better than blended learning,Entirely no Face-to-Face;Module is the primary tool in learning;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Student and teacher interactions would be very limited,4,4,Yes,3,A HARCOPY of your module,3,Yes,5,Yes,4,Yes,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation
117,2nd Year,1,Old,Romblon,Female,3/2/1996,Single,7,5th,"Romblon, Romblon",Yes,No,,Yes,3,Sad / Disappointed;Worried / Nervous,Because its different from face to face classes and I need to adjust in this kind of learning.,Entirely no Face-to-Face;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Learning would not be that effective;Student and teacher interactions would be very limited,3,3,Yes,3,A SOFTCOPY of your module,3,Yes,3,No,3,No,Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises
118,1st year,6,Old,Romblon,Female,4/15/2002,Single,3,1st,Tablas Island,No,No,,Yes,2,Worried / Nervous,Because I didn't comply some activities given by the teacher,Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject,3,3,Yes,4,A SOFTCOPY of your module,3,Yes,4,Yes,2,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises
120,1st year,2,Old,Romblon,Male,5/16/2002,Single,3,1st,Tablas Island,No,Yes,,Yes,3,Did not feel anything,Because I consider that I should to follow the new normal in this Pandemic ,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;Student and teacher interactions would be very limited",4,4,Yes,4,A SOFTCOPY of your module,5,Yes,4,Yes,2,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
121,2nd Year,2,Old,Romblon,Male,10/31/1996,Single,1,1st,Tablas Island,No,No,No,Yes,2,Worried / Nervous,worried getting low grades,A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject,4,5,Yes,5,A SOFTCOPY of your module,3,Yes,4,Yes,4,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools"
122,1st year,6,New,Romblon,Male,4/6/2001,Single,4,3rd,Tablas Island,No,Yes,,Yes,1,Sad / Disappointed,"Because learning programming in module is very hard, it needs to do a hands on learning and then it is difficult for the student that low signal strength like me. ","Exercises, quizzes, and major examinations will be done online or face-to-face",3,3,Yes,3,A HARCOPY of your module,4,Yes,4,Yes,3,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
123,2nd Year,1,Old,Romblon,Female,3/3/2021,Married,5,1st,Tablas Island,No,No,Yes,Yes,3,Happy / Excited,I don't understand the other lesson,"Exercises, quizzes, and major examinations will be done online or face-to-face",1,2,Yes,2,A SOFTCOPY of your module,1,Yes,2,No,3,Yes,Module Content and Presentation,Faculty & Student Online Discussion of Lesson,Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises
124,1st year,6,New,Romblon,Male,4/3/2001,Single,5,4th,Tablas Island,No,No,Yes,Yes,3,Happy / Excited,Exciting,"Exercises, quizzes, and major examinations will be done online or face-to-face",4,3,Yes,3,A SOFTCOPY of your module,5,Yes,4,Yes,5,Yes,Faculty Feedback on Quizzes / Assignments / Exercises,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty & Student Online Discussion of Lesson,Module Content and Presentation
125,2nd Year,4,New,Romblon,Male,6/26/1999,Single,6,6th,Tablas Island,Yes,No,Yes,Yes,2,Nahirapan po mag adjust.,Kasi po bago sa akin ang ganitong systema sa pag aaral,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Learning would not be that effective;Student and teacher interactions would be very limited",2,1,No,2,A HARCOPY of your module,2,Yes,3,Yes,2,Yes,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
126,3rd year,1,Old,Romblon,Female,7/7/1990,Single,5,2nd,Tablas Island,No,Yes,,Yes,1,Sad / Disappointed,Disappointed ,"Exercises, quizzes, and major examinations will be done online or face-to-face",2,2,Yes,2,A SOFTCOPY of your module,2,No,2,Yes,3,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation
127,1st year,6,New,Romblon,Male,6/4/2002,Single,4,1st,Tablas Island,No,No,No,Yes,3,Worried / Nervous,I'm worried because I think I may not learn anything this way,Student and teacher interactions would be very limited,3,3,Yes,2,A HARCOPY of your module,5,Yes,3,Yes,5,Yes,Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation
128,2nd Year,3,New,Romblon,Male,11/2/2000,Single,4,2nd,"National Capital Region (Manila, Quezon City, etc.)",No,No,No,Yes,3,Sad / Disappointed,Because face to face class is much better,Entirely no Face-to-Face;Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject,4,4,Yes,3,A SOFTCOPY of your module,5,Yes,4,No,5,No,Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools"
129,1st year,6,New,Romblon,Female,4/7/2001,Single,6,4th,"Tres Islas (Banton, Sibale, Simara)",No,No,No,Yes,4,Sad / Disappointed,I can't learn properly,Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Internet connection is a necessity;Learning would not be that effective;Student and teacher interactions would be very limited,3,4,Yes,4,A SOFTCOPY of your module,5,Yes,5,No,3,Yes,Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty Feedback on Quizzes / Assignments / Exercises,Faculty & Student Online Discussion of Lesson
131,2nd Year,2,Old,Romblon,Female,6/7/2000,Single,2,2nd,Tablas Island,No,No,No,Yes,3,Sad / Disappointed,"Because it's hard to learned when it's not face to face ,the internet also very slow..",A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject,3,3,Yes,3,A HARCOPY of your module,4,Yes,4,Yes,2,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty & Student Online Discussion of Lesson,Faculty Feedback on Quizzes / Assignments / Exercises
132,1st year,6,New,Romblon,Female,10/9/2000,Single,3,1st,Tablas Island,No,No,No,Yes,3,Worried / Nervous,Because I don't know if it is right.,Module is the primary tool in learning;A hardcopy of the module would be distributed to all students,3,3,Yes,3,A HARCOPY of your module,3,Yes,3,Yes,3,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty Feedback on Quizzes / Assignments / Exercises
133,1st year,6,New,Romblon,Male,10/24/2000,Single,1,2nd,"Romblon, Romblon",No,No,No,Yes,3,Did not feel anything,No,A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject,2,3,Yes,2,A SOFTCOPY of your module,2,Yes,4,Yes,3,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty & Student Online Discussion of Lesson
134,1st year,7,New,Romblon,Male,7/29/2002,Single,1,1st,Tablas Island,Yes,No,No,Yes,3,Worried / Nervous,Because having a online class is more harder than face to face class,"Exercises, quizzes, and major examinations will be done online or face-to-face;Internet connection is a necessity;Learning would not be that effective;Student and teacher interactions would be very limited",5,4,Yes,4,A SOFTCOPY of your module,4,Yes,5,Yes,5,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson
135,1st year,2,New,Romblon,Female,8/2/2001,Single,4,1st ,Tablas Island,No,No,No,Yes,1,Sad / Disappointed,Sad,"Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Only a softcopy of the module would be distributed to students via email or messenger;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Learning would not be that effective",3,3,Yes,1,A HARCOPY of your module,4,Yes,2,Yes,3,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation,Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises
136,1st year,7,Old,Romblon,Male,4/15/2002,Single,6,4th ,Tablas Island,Yes,No,No,Yes,1,Did not feel anything,I don't know why but i did not feel anything,"Exercises, quizzes, and major examinations will be done online or face-to-face;Internet connection is a necessity;Student and teacher interactions would be very limited",3,3,Yes,4,A SOFTCOPY of your module,5,Yes,4,Yes,3,Yes,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises,Faculty & Student Online Discussion of Lesson
137,1st year,6,New,Romblon,Male,4/29/2002,Single,9,9th,Tablas Island,No,Yes,,Yes,3,Happy / Excited;Sad / Disappointed,"Happy because i can work in our talyer shop, sad because it will be hard for me to learn and catch up with the lesson because of work","Exercises, quizzes, and major examinations will be done online or face-to-face;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject",3,4,Yes,4,A SOFTCOPY of your module,3,No,5,No,3,No,Faculty & Student Online Discussion of Lesson,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
138,1st year,6,New,Romblon,Male,5/30/2002,Single,2,1st,Tablas Island,No,Yes,,Yes,3,Sad / Disappointed,Face to face is better ,A hardcopy of the module would be distributed to all students;Internet connection is a necessity,3,3,Yes,2,A SOFTCOPY of your module,3,Yes,3,Yes,3,Yes,Faculty & Student Online Discussion of Lesson,Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises,Faculty & Student Online Discussion of Lesson
139,2nd Year,2,New,Romblon,Male,8/21/2001,Single,2,1st,Tablas Island,No,Yes,,Yes,2,Worried / Nervous,"Several questions popped in my head after hearing that like ""Will we be doing Zoom meetings every day?"", ""How about group projects?"", and ""Do I have to send a message to our teachers every time I have a question?"". I had no idea what the new form of instruction will be given to us at that time. It may not be much of a problem to some but it's a bit uncomfortable for me. I was just probably accustomed to the old form of instruction but I'm more comfortable and do think that face-to-face instruction is still better, before and now.","Exercises, quizzes, and major examinations will be done online or face-to-face;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Learning would not be that effective",2,3,Yes,3,A SOFTCOPY of your module,3,No,3,No,4,No,Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,Faculty & Student Online Discussion of Lesson
